text,label
"mmmmm ... it was sooooo good to wake to your words this morning, my love!! mmmm fuck ... i love you too, my lion ... *devouring kiss from across the sea*",ham
raji..pls do me a favour. pls convey my birthday wishes to nimya. pls. today is her birthday.,ham
no need to ke qi... ü too bored izzit y suddenly thk of this...,ham
your b4u voucher w/c 27/03 is marsms. log onto www.b4utele.com for discount credit. to opt out reply stop. customer care call 08717168528,spam
can you open the door?,ham
congratulations ur awarded either a yrs supply of cds from virgin records or a mystery gift guaranteed call 09061104283 ts&cs www.smsco.net £1.50pm approx 3mins,spam
"machan you go to gym tomorrow,  i wil come late goodnight.",ham
i lost 4 pounds since my doc visit last week woot woot! now i'm gonna celebrate by stuffing my face!,ham
neft transaction with reference number  &lt;#&gt;  for rs. &lt;decimal&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;time&gt; : &lt;#&gt;,ham
"thank you, winner notified by sms. good luck! no future marketing reply stop to 84122 customer services 08450542832",spam
"its ur luck to love someone. its ur fortune to love the one who loves u. but, its a miracle to love a person who can't love anyone except u... gud nyt...",ham
are you up for the challenge? i know i am :),ham
fancy a shag? i do.interested? sextextuk.com txt xxuk suzy to 69876. txts cost 1.50 per msg. tncs on website. x,spam
i can do that! i want to please you both inside and outside the bedroom...,ham
am in gobi arts college,ham
"sorry, i can't help you on this.",ham
cos darren say ü considering mah so i ask ü...,ham
2p per min to call germany 08448350055 from your bt line. just 2p per min. check planettalkinstant.com for info & t's & c's. text stop to opt out,spam
jay says that you're a double-faggot,ham
thank you meet you monday,ham
k da:)how many page you want?,ham
in that case i guess i'll see you at campus lodge,ham
tessy..pls do me a favor. pls convey my birthday wishes to nimya..pls dnt forget it. today is her birthday shijas,ham
i want to sent  &lt;#&gt; mesages today. thats y. sorry if i hurts,ham
ok... sweet dreams...,ham
dunno i juz askin cos i got a card got 20% off 4 a salon called hair sense so i tot it's da one ü cut ur hair. ,ham
can come my room but cannot come my house cos my house still messy... haha...,ham
private! your 2004 account statement for 078498****7 shows 786 unredeemed bonus points. to claim call 08719180219 identifier code: 45239 expires 06.05.05,spam
tired. i haven't slept well the past few nights.,ham
well if i'm that desperate i'll just call armand again,ham
what does the dance river do?,ham
glad it went well :) come over at 11 then we'll have plenty of time before claire goes to work.,ham
anything lor if they all go then i go lor...,ham
esplanade lor. where else...,ham
lol they were mad at first but then they woke up and gave in.,ham
i'm good. have you registered to vote?,ham
yo! howz u? girls never rang after india. l,ham
please ask mummy to call father,ham
ah poor baby!hope urfeeling bettersn luv! probthat overdose of work hey go careful spk 2 u sn lots of lovejen xxx.,ham
hey gals.. anyone of u going down to e driving centre tmr?,ham
ok...,ham
oh baby of the house. how come you dont have any new pictures on facebook,ham
ok... help me ask if she's working tmr a not?,ham
yes. they replied my mail. i'm going to the management office later. plus will in to bank later also.or on wednesday.,ham
can you please send me my aunty's number,ham
hey pple...$700 or $900 for 5 nights...excellent location wif breakfast hamper!!!,ham
text & meet someone sexy today. u can find a date or even flirt its up to u. join 4 just 10p. reply with name & age eg sam 25. 18 -msg recd@thirtyeight pence,spam
lol your right. what diet? everyday i cheat anyway. i'm meant to be a fatty :(,ham
i plane to give on this month end.,ham
nothing will ever be easy. but don't be looking for a reason not to take a risk on life and love,ham
you said not now. no problem. when you can. let me know.,ham
nope wif my sis lor... aft bathing my dog then i can bathe... looks like it's going 2 rain soon.,ham
sian... aft meeting supervisor got work 2 do liao... u working now?,ham
gudnite....tc...practice going on,ham
s but mostly not like that.,ham
he neva grumble but i sad lor... hee... buy tmr lor aft lunch. but we still meetin 4 lunch tmr a not. neva hear fr them lei. ü got a lot of work ar?,ham
"sure, i'll see if i can come by in a bit",ham
these won't do. have to move on to morphine,ham
"u can win £100 of music gift vouchers every week starting now txt the word draw to 87066 tscs www.ldew.com skillgame,1winaweek, age16.150ppermesssubscription",spam
sorry . i will be able to get to you. see you in the morning.,ham
goodmorning sleeping ga.,ham
just sent it. so what type of food do you like?,ham
err... cud do. i'm going to  at 8pm. i haven't got a way to contact him until then.,ham
"yeah sure, give me a couple minutes to track down my wallet",ham
havent mus ask if u can 1st wat. of meet 4 lunch den u n him meet can already lor. or u wan 2 go ask da ge 1st then confirm w me asap?,ham
so ü'll be submitting da project tmr rite?,ham
gent! we are trying to contact you. last weekends draw shows that you won a £1000 prize guaranteed. call 09064012160. claim code k52. valid 12hrs only. 150ppm,spam
your pussy is perfect!,ham
"new tones this week include: 1)mcfly-all ab.., 2) sara jorge-shock.. 3) will smith-switch.. to order follow instructions on next message",spam
no need for the drug anymore.,ham
bloomberg -message center +447797706009 why wait? apply for your future http://careers. bloomberg.com,spam
"sms services. for your inclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with stop, no extra charge. help 08702840625.comuk. 220-cm2 9ae",spam
good. do you think you could send me some pix? i would love to see your top and bottom...,ham
ya it came a while ago,ham
"yep, at derek's house now, see you sunday &lt;3",ham
back 2 work 2morro half term over! can u c me 2nite 4 some sexy passion b4 i have 2 go back? chat now 09099726481 luv dena calls £1/minmobsmorelkpobox177hp51fl,spam
if you text on your way to cup stop that should work. and that should be bus,ham
hi chachi tried calling u now unable to reach u .. pl give me a missed cal once u c tiz msg  kanagu,ham
i‘ll have a look at the frying pan in case it‘s cheap or a book perhaps. no that‘s silly a frying pan isn‘t likely to be a book,ham
free entry in 2 a wkly comp to win fa cup final tkts 21st may 2005. text fa to 87121 to receive entry question(std txt rate)t&c's apply 08452810075over18's,spam
"new theory: argument wins d situation, but loses the person. so dont argue with ur friends just.. . . . kick them &amp; say, i'm always correct.!",ham
how do friends help us in problems? they give the most stupid suggestion that lands us into another problem and helps us forgt the previous problem,ham
send his number and give reply tomorrow morning for why you said that to him like that ok,ham
"now u sound like manky scouse boy steve,like! i is travelling on da bus home.wot has u inmind 4 recreation dis eve?",ham
"hey sexy buns ! have i told you ? i adore you, loverboy. i hope you remember to thank your sister in law for those meatballs *grins* ... i love you, babe",ham
"yeah, that's what i was thinking",ham
u have a secret admirer who is looking 2 make contact with u-find out who they r*reveal who thinks ur so special-call on 09058094599,spam
"and very importantly, all we discuss is between u and i only.",ham
you do your studies alone without anyones help. if you cant no need to study.,ham
no just send to you. bec you in temple na.,ham
you know my old dom i told you about yesterday ? his name is roger? he got in touch with me last night and wants me to meet him today at 2 pm,ham
lol ok. i'll snatch her purse too.,ham
okay lor... wah... like that def they wont let us go... haha... what did they say in the terms and conditions?,ham
how do you plan to manage that,ham
pls give her prometazine syrup. 5mls then  &lt;#&gt; mins later feed.,ham
thanks for the vote. now sing along with the stars with karaoke on your mobile. for a free link just reply with sing now.,spam
i know a few people i can hit up and fuck to the yes,ham
where at were hungry too,ham
no current and food here. i am alone also,ham
i'm awake oh. what's up.,ham
hey sexy buns! what of that day? no word from you this morning on ym ... :-( ... i think of you,ham
"hello, my love. what are you doing? did you get to that interview today? are you you happy? are you being a good boy? do you think of me?are you missing me ?",ham
"wen ur lovable bcums angry wid u, dnt take it seriously.. coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... have nice day da.",ham
r u over scratching it?,ham
i am not having her number sir,ham
no shoot me. i'm in the docs waiting room. :/,ham
"yup, no need. i'll jus wait 4 e rain 2 stop.",ham
can i get your opinion on something first?,ham
package all your programs well,ham
i emailed yifeng my part oredi.. can ü get it fr him..,ham
was gr8 to see that message. so when r u leaving? congrats dear. what school and wat r ur plans.,ham
(bank of granite issues strong-buy) explosive pick for our members *****up over 300% *********** nasdaq symbol cdgt that is a $5.00 per..,spam
"ditto. and you won't have to worry about me saying anything to you anymore. like i said last night, you do whatever you want and i'll do the same. peace.",ham
that's cause your old. i live to be high.,ham
bognor it is! should be splendid at this time of year.,ham
"win: we have a winner! mr. t. foley won an ipod! more exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk",spam
someone u know has asked our dating service 2 contact you! cant guess who? call 09058091854 now all will be revealed. po box385 m6 6wu,spam
message from . i am at truro hospital on ext. you can phone me here. as i have a phone by my side,ham
urgent! your mobile number has been awarded with a £2000 prize guaranteed. call 09058094455 from land line. claim 3030. valid 12hrs only,spam
"k give me a sec, breaking a  &lt;#&gt;  at cstore",ham
"last chance! claim ur £150 worth of discount vouchers today! text shop to 85023 now! savamob, offers mobile! t cs savamob pobox84, m263uz. £3.00 sub. 16",spam
haha... they cant what... at the most tmr forfeit... haha so how?,ham
i'm at work. please call,ham
captain vijaykanth is doing comedy in captain tv..he is drunken :),ham
k:)k:)good:)study well.,ham
"you are sweet as well, princess. please tell me your likes and dislikes in bed...",ham
no b4 thursday,ham
"what will we do in the shower, baby?",ham
"hey. what happened? u switch off ur cell d whole day. this isnt good. now if u do care, give me a call tomorrow.",ham
ringtoneking 84484,spam
"what's up bruv, hope you had a great break. do have a rewarding semester.",ham
"there'll be a minor shindig at my place later tonight, you interested?",ham
hello- thanx for taking that call. i got a job! starts on monday!,ham
ok i thk i got it. then u wan me 2 come now or wat?,ham
"the last thing i ever wanted to do was hurt you. and i didn't think it would have. you'd laugh, be embarassed, delete the tag and keep going. but as far as i knew, it wasn't even up. the fact that you even felt like i would do it to hurt you shows you really don't know me at all. it was messy wednesday, but it wasn't bad. the problem i have with it is you have the time to clean it, but you choose not to. you skype, you take pictures, you sleep, you want to go out. i don't mind a few things here and there, but when you don't make the bed, when you throw laundry on top of it, when i can't have a friend in the house because i'm embarassed that there's underwear and bras strewn on the bed, pillows on the floor, that's something else. you used to be good about at least making the bed.",ham
do you want 750 anytime any network mins 150 text and a new video phone for only five pounds per week call 08002888812 or reply for delivery tomorrow,spam
as in different styles?,ham
hahaha..use your brain dear,ham
would really appreciate if you call me. just need someone to talk to.,ham
i want to sent  &lt;#&gt; mesages today. thats y. sorry if i hurts,ham
i need... coz i never go before ,ham
no i am not having not any movies in my laptop,ham
you're not sure that i'm not trying to make xavier smoke because i don't want to smoke after being told i smoke too much?,ham
it certainly puts things into perspective when something like this happens,ham
"sms. ac sun0819 posts hello:""you seem cool, wanted to say hi. hi!!!"" stop? send stop to 62468",spam
i reach home safe n sound liao...,ham
should i head straight there or what,ham
here is your discount code rp176781. to stop further messages reply stop. www.regalportfolio.co.uk. customer services 08717205546,spam
"its ok, called mom instead have fun",ham
freemsg:feelin kinda lnly hope u like 2 keep me company! jst got a cam moby wanna c my pic?txt or reply date to 82242 msg150p 2rcv hlp 08712317606 stop to 82242,spam
"free ring tone just text ""polys"" to 87131. then every week get a new tone. 0870737910216yrs only £1.50/wk.",spam
hope you are not scared!,ham
hi 07734396839 ibh customer loyalty offer: the new nokia6600 mobile from only £10 at txtauction!txt word:start to no:81151 & get yours now!4t&,spam
"mostly sports type..lyk footbl,crckt..",ham
if you don't respond imma assume you're still asleep and imma start calling n shit,ham
i don't run away frm u... i walk slowly &amp; it kills me that u don't care enough to stop me...,ham
otherwise had part time job na-tuition..,ham
tell my  bad character which u dnt lik in me. i'll try to change in  &lt;#&gt; . i ll add tat 2 my new year resolution. waiting for ur reply.be frank...good morning.,ham
simply sitting and watching match in office..,ham
mm i am on the way to railway,ham
"actually fuck that, just do whatever, do find an excuse to be in tampa at some point before january though",ham
ard 530 like dat lor. we juz meet in mrt station then ü dun haf to come out.,ham
"i'm used to it. i just hope my agents don't drop me since i've only booked a few things this year. this whole me in boston, them in nyc was an experiment.",ham
"honey ? sweetheart ? darling ? sexy buns ? sugar plum ? loverboy ? i miss you, boytoy ... *smacks your ass* did you go to the gym too ?",ham
k come to nordstrom when you're done,ham
i'm freezing and craving ice. fml,ham
i'm very happy for you babe ! woo hoo party on dude!,ham
i am going to sleep. i am tired of travel.,ham
you have won a guaranteed £1000 cash or a £2000 prize.to claim yr prize call our customer service representative on,spam
ugh i don't wanna get out of bed. it's so warm.,ham
"easy mate, * guess the quick drink was bit ambitious.",ham
u buy newspapers already?,ham
"awesome, lemme know whenever you're around",ham
"sorry, i can't help you on this.",ham
good evening! how are you?,ham
gud ni8 dear..slp well..take care..swt dreams..muah..,ham
oi. ami parchi na re. kicchu kaaj korte iccha korche na. phone ta tul na. plz. plz.,ham
howz that persons story,ham
"urgent!: your mobile no. was awarded a £2,000 bonus caller prize on 02/09/03! this is our 2nd attempt to contact you! call 0871-872-9755 box95qu",spam
"as usual..iam fine, happy &amp; doing well..:)",ham
"pdate_now - double mins and 1000 txts on orange tariffs. latest motorola, sonyericsson & nokia & bluetooth free! call mobileupd8 on 08000839402 or call2optout/!yhl",spam
